SMILES,Reagent1 (ul),Reagent2 (ul),Reagent3 (ul),Reagent4 (ul),Reagent5 (ul),Reagent6 (ul),Reagent7 (ul),Reagent8 (ul),Reagent9 (ul),crystal_score,crystal_size,lab_code
Cc1cccc(n1)-c2cccc(C)n2,28,126,4,41,0,0,0,0,800,4,1.4593,1
Cc1cccc(n1)-c2cccc(C)n2,100,6,41,52,0,0,0,0,800,1,0,1
Cc1cccc(n1)-c2cccc(C)n2,14,88,18,80,0,0,0,0,800,4,0.767,1
Cc1cccc(n1)-c2cccc(C)n2,28,69,83,20,0,0,0,0,800,4,0.707,1
Cc1cccc(n1)-c2cccc(C)n2,50,3,89,58,0,0,0,0,800,4,0,1
Cc1cccc(n1)-c2cccc(C)n2,31,18,83,68,0,0,0,0,800,4,0,1
Cc1cccc(n1)-c2cccc(C)n2,42,65,22,71,0,0,0,0,800,4,1.4402,1
Cc1cccc(n1)-c2cccc(C)n2,42,52,59,47,0,0,0,0,800,4,0.8335,1
Cc1cccc(n1)-c2cccc(C)n2,45,16,108,31,0,0,0,0,800,1,0,1
Cc1cccc(n1)-c2cccc(C)n2,135,6,47,11,0,0,0,0,800,1,0,1
Cc1cccc(n1)-c2cccc(C)n2,85,75,25,15,0,0,0,0,800,4,3.818,1
Cc1cccc(n1)-c2cccc(C)n2,4,49,109,38,0,0,0,0,800,4,0,1
Cc1cccc(n1)-c2cccc(C)n2,38,1,141,20,0,0,0,0,800,4,0,1
Cc1cccc(n1)-c2cccc(C)n2,65,37,34,63,0,0,0,0,800,4,1.096,1
Cc1cccc(n1)-c2cccc(C)n2,89,57,49,5,0,0,0,0,800,4,0.944,1
Cc1cccc(n1)-c2cccc(C)n2,28,39,99,34,0,0,0,0,800,4,0,1
Cc1cccc(n1)-c2cccc(C)n2,83,39,32,47,0,0,0,0,800,4,1.2322,1
Cc1cccc(n1)-c2cccc(C)n2,24,35,106,34,0,0,0,0,800,4,0,1
Cc1cccc(n1)-c2cccc(C)n2,31,107,2,59,0,0,0,0,800,4,0.6458,1
Cc1cccc(n1)-c2cccc(C)n2,30,11,1,159,0,0,0,0,800,3,0,1
Cc1cccc(n1)-c2cccc(C)n2,1,87,63,48,0,0,0,0,800,4,1.1845,1
Cc1cccc(n1)-c2cccc(C)n2,119,2,5,75,0,0,0,0,800,1,0,1
Cc1cccc(n1)-c2cccc(C)n2,53,2,128,18,0,0,0,0,800,1,0,1
Cc1cccc(n1)-c2cccc(C)n2,9,32,54,106,0,0,0,0,800,4,0.5534,1
Cc1ccc(nc1)-c2ccc(C)cn2,123,12,28,37,0,0,0,0,800,3,0,1
Cc1ccc(nc1)-c2ccc(C)cn2,88,12,4,96,0,0,0,0,800,3,0,1
Cc1ccc(nc1)-c2ccc(C)cn2,67,34,93,6,0,0,0,0,800,4,0.6514,1
Cc1ccc(nc1)-c2ccc(C)cn2,47,6,9,137,0,0,0,0,800,3,0,1
Cc1ccc(nc1)-c2ccc(C)cn2,3,107,62,28,0,0,0,0,800,4,1.2241,1
Cc1ccc(nc1)-c2ccc(C)cn2,17,94,21,67,0,0,0,0,800,4,0.621,1
Cc1ccc(nc1)-c2ccc(C)cn2,12,72,8,108,0,0,0,0,800,3,0,1
Cc1ccc(nc1)-c2ccc(C)cn2,32,14,113,41,0,0,0,0,800,4,0,1
Cc1ccc(nc1)-c2ccc(C)cn2,47,50,63,41,0,0,0,0,800,4,0.9062,1
Cc1ccc(nc1)-c2ccc(C)cn2,54,2,59,85,0,0,0,0,800,3,0,1
Cc1ccc(nc1)-c2ccc(C)cn2,98,40,23,39,0,0,0,0,800,4,0.2928,1
Cc1ccc(nc1)-c2ccc(C)cn2,30,6,105,60,0,0,0,0,800,4,0,1
Cc1ccc(nc1)-c2ccc(C)cn2,14,106,79,2,0,0,0,0,800,4,0.9493,1
Cc1ccc(nc1)-c2ccc(C)cn2,10,25,30,135,0,0,0,0,800,3,0,1
Cc1ccc(nc1)-c2ccc(C)cn2,35,97,26,42,0,0,0,0,800,4,1.0856,1
Cc1ccc(nc1)-c2ccc(C)cn2,123,11,46,20,0,0,0,0,800,3,0,1
Cc1ccc(nc1)-c2ccc(C)cn2,26,38,84,52,0,0,0,0,800,3,0,1
Cc1ccc(nc1)-c2ccc(C)cn2,30,92,57,21,0,0,0,0,800,4,1.1424,1
Cc1ccc(nc1)-c2ccc(C)cn2,83,62,0,56,0,0,0,0,800,4,0.625,1
Cc1ccc(nc1)-c2ccc(C)cn2,85,90,24,1,0,0,0,0,800,4,0.82,1
Cc1ccc(nc1)-c2ccc(C)cn2,91,17,10,82,0,0,0,0,800,3,0,1
Cc1ccc(nc1)-c2ccc(C)cn2,148,5,5,41,0,0,0,0,800,3,0,1
Cc1ccc(nc1)-c2ccc(C)cn2,1,21,172,6,0,0,0,0,800,4,0,1
Cc1ccc(nc1)-c2ccc(C)cn2,1,72,88,38,0,0,0,0,800,4,0.2676,1
n1ccccc1-c2ccccn2,46,25,25,104,0,0,0,0,800,4,0,1
n1ccccc1-c2ccccn2,5,57,37,101,0,0,0,0,800,4,0,1
n1ccccc1-c2ccccn2,135,6,10,48,0,0,0,0,800,4,0,1
n1ccccc1-c2ccccn2,65,27,82,26,0,0,0,0,800,4,0.9081,1
n1ccccc1-c2ccccn2,10,49,45,97,0,0,0,0,800,4,0,1
n1ccccc1-c2ccccn2,22,117,1,59,0,0,0,0,800,4,0.6124,1
n1ccccc1-c2ccccn2,73,15,6,106,0,0,0,0,800,4,0,1
n1ccccc1-c2ccccn2,33,142,1,23,0,0,0,0,800,4,1.0176,1
n1ccccc1-c2ccccn2,3,158,15,24,0,0,0,0,800,4,0.9068,1
n1ccccc1-c2ccccn2,15,6,9,170,0,0,0,0,800,4,0,1
n1ccccc1-c2ccccn2,63,29,84,23,0,0,0,0,800,4,1.0611,1
